State,Date,Code,Description
,2020-01-01,New Year Day,New Year's Day
,2020-01-25,Chinese New Year,Chinese New Year
,2020-01-26,Chinese New Year,Chinese New Year Holiday
,2020-01-27,Chinese New Year,Chinese New Year Holiday
,2020-04-10,Good Friday,Good Friday
,2020-05-01,Labour Day,Labour Day
,2020-05-07,Vesak Day,Vesak Day
,2020-05-24,Hari Raya Puasa,Hari Raya Puasa
,2020-05-25,Hari Raya Puasa,Hari Raya Puasa Holiday
,2020-07-31,Hari Raya Haji,Hari Raya Haji
,2020-08-09,National Day,National Day
,2020-08-09,National Day,National Day Holiday
,2020-11-14,Deepavali,Deepavali
,2020-12-25,Christmas Day,Christmas Day
